,currency,base,rates
0,AED,EUR,4.170787
1,AFN,EUR,119.230805
2,ALL,EUR,121.898732
3,AMD,EUR,549.356673
4,ANG,EUR,2.046639
5,AOA,EUR,625.596031
6,ARS,EUR,117.278247
7,AUD,EUR,1.5818409999999998
8,AWG,EUR,2.044524
9,AZN,EUR,1.932341
10,BAM,EUR,1.964795
11,BBD,EUR,2.292963
12,BDT,EUR,97.587536
13,BGN,EUR,1.9598149999999999
14,BHD,EUR,0.42811699999999997
15,BIF,EUR,2279.579172
16,BMD,EUR,1.135531
17,BND,EUR,1.543408
18,BOB,EUR,7.818776
19,BRL,EUR,6.391676
20,BSD,EUR,1.1355819999999999
21,BTC,EUR,2.7061895e-05
22,BTN,EUR,84.383176
23,BWP,EUR,13.243429
24,BYN,EUR,2.939814
25,BYR,EUR,22256.414333
26,BZD,EUR,2.2890449999999998
27,CAD,EUR,1.4366970000000001
28,CDF,EUR,2279.011821
29,CHF,EUR,1.043928
30,CLF,EUR,0.034121
31,CLP,EUR,941.502872
32,CNY,EUR,7.242075
33,COP,EUR,4600.979964
34,CRC,EUR,729.267593
35,CUC,EUR,1.135531
36,CUP,EUR,30.091581
37,CVE,EUR,108.869084
38,CZK,EUR,24.443565
39,DJF,EUR,201.807006
40,DKK,EUR,7.437912
41,DOP,EUR,65.349813
42,DZD,EUR,158.403432
43,EGP,EUR,17.841127
44,ERN,EUR,17.033059
45,ETB,EUR,55.976317
46,EUR,EUR,1.0
47,FJD,EUR,2.429737
48,FKP,EUR,0.856621
49,GBP,EUR,0.8363700000000001
50,GEL,EUR,3.508374
51,GGP,EUR,0.856621
52,GHS,EUR,7.000557
53,GIP,EUR,0.856621
54,GMD,EUR,60.041197
55,GNF,EUR,10333.335459
56,GTQ,EUR,8.767003
57,GYD,EUR,237.594124
58,HKD,EUR,8.854931
59,HNL,EUR,27.797822
60,HRK,EUR,7.5239840000000004
61,HTG,EUR,113.537061
62,HUF,EUR,358.86762
63,IDR,EUR,16277.33082
64,ILS,EUR,3.537408
65,IMP,EUR,0.856621
66,INR,EUR,84.286234
67,IQD,EUR,1656.74023
68,IRR,EUR,48004.587252
69,ISK,EUR,146.222327
70,JEP,EUR,0.856621
71,JMD,EUR,175.381798
72,JOD,EUR,0.805045
73,JPY,EUR,131.315103
74,KES,EUR,128.598808
75,KGS,EUR,96.308424
76,KHR,EUR,4627.29063
77,KMF,EUR,493.164093
78,KPW,EUR,1021.978121
79,KRW,EUR,1364.238702
80,KWD,EUR,0.343782
81,KYD,EUR,0.946326
82,KZT,EUR,494.506395
83,LAK,EUR,12763.37224
84,LBP,EUR,1718.059246
85,LKR,EUR,230.384153
86,LRD,EUR,166.497249
87,LSL,EUR,17.850396
88,LTL,EUR,3.352929
89,LVL,EUR,0.6868719999999999
90,LYD,EUR,5.217777
91,MAD,EUR,10.540573
92,MDL,EUR,20.310576
93,MGA,EUR,4493.297489
94,MKD,EUR,61.897433
95,MMK,EUR,2019.091107
96,MNT,EUR,3245.785365
97,MOP,EUR,9.123328
98,MRO,EUR,405.384494
99,MUR,EUR,49.62369
100,MVR,EUR,17.555569
101,MWK,EUR,926.593476
102,MXN,EUR,23.156164
103,MYR,EUR,4.784016
104,MZN,EUR,72.48083
105,NAD,EUR,17.838982
106,NGN,EUR,469.212946
107,NIO,EUR,40.202803
108,NOK,EUR,10.043128
109,NPR,EUR,135.013082
110,NZD,EUR,1.6762540000000001
111,OMR,EUR,0.43718
112,PAB,EUR,1.1355819999999999
113,PEN,EUR,4.4904589999999995
114,PGK,EUR,4.002717
115,PHP,EUR,58.301013
116,PKR,EUR,201.076991
117,PLN,EUR,4.545425
118,PYG,EUR,7897.334941
119,QAR,EUR,4.13443
120,RON,EUR,4.945354
121,RSD,EUR,117.589939
122,RUB,EUR,85.614289
123,RWF,EUR,1152.564314
124,SAR,EUR,4.262056
125,SBD,EUR,9.183505
126,SCR,EUR,15.534259
127,SDG,EUR,496.794012
128,SEK,EUR,10.296433
129,SGD,EUR,1.540087
130,SHP,EUR,1.5640830000000001
131,SLL,EUR,12865.570642
132,SOS,EUR,665.420814
133,SRD,EUR,24.15049
134,STD,EUR,23503.206182
135,SVC,EUR,9.936339
136,SYP,EUR,2853.014305
137,SZL,EUR,17.838887
138,THB,EUR,38.139663
139,TJS,EUR,12.826828
140,TMT,EUR,3.985715
141,TND,EUR,3.272032
142,TOP,EUR,2.594118
143,TRY,EUR,15.714601
144,TTD,EUR,7.708272
145,TWD,EUR,31.41673
146,TZS,EUR,2620.805737
147,UAH,EUR,31.224274
148,UGX,EUR,4025.76928
149,USD,EUR,1.135531
150,UYU,EUR,50.81386
151,UZS,EUR,12280.771587
152,VEF,EUR,242810919653.29147
153,VND,EUR,25765.206184
154,VUV,EUR,128.601937
155,WST,EUR,2.952576
156,XAF,EUR,658.949228
157,XAG,EUR,0.051036
158,XAU,EUR,0.000633
159,XCD,EUR,3.06883
160,XDR,EUR,0.8120879999999999
161,XOF,EUR,659.181213
162,XPF,EUR,120.23002
163,YER,EUR,283.882576
164,ZAR,EUR,17.694648
165,ZMK,EUR,10221.145598
166,ZMW,EUR,19.140939
167,ZWL,EUR,365.640629
