,rates
AED,4.170787
AFN,119.230805
ALL,121.898732
AMD,549.356673
ANG,2.046639
AOA,625.596031
ARS,117.278247
AUD,1.5818409999999998
AWG,2.044524
AZN,1.932341
BAM,1.964795
BBD,2.292963
BDT,97.587536
BGN,1.9598149999999999
BHD,0.42811699999999997
BIF,2279.579172
BMD,1.135531
BND,1.543408
BOB,7.818776
BRL,6.391676
BSD,1.1355819999999999
BTC,2.7061895e-05
BTN,84.383176
BWP,13.243429
BYN,2.939814
BYR,22256.414333
BZD,2.2890449999999998
CAD,1.4366970000000001
CDF,2279.011821
CHF,1.043928
CLF,0.034121
CLP,941.502872
CNY,7.242075
COP,4600.979964
CRC,729.267593
CUC,1.135531
CUP,30.091581
CVE,108.869084
CZK,24.443565
DJF,201.807006
DKK,7.437912
DOP,65.349813
DZD,158.403432
EGP,17.841127
ERN,17.033059
ETB,55.976317
EUR,1.0
FJD,2.429737
FKP,0.856621
GBP,0.8363700000000001
GEL,3.508374
GGP,0.856621
GHS,7.000557
GIP,0.856621
GMD,60.041197
GNF,10333.335459
GTQ,8.767003
GYD,237.594124
HKD,8.854931
HNL,27.797822
HRK,7.5239840000000004
HTG,113.537061
HUF,358.86762
IDR,16277.33082
ILS,3.537408
IMP,0.856621
INR,84.286234
IQD,1656.74023
IRR,48004.587252
ISK,146.222327
JEP,0.856621
JMD,175.381798
JOD,0.805045
JPY,131.315103
KES,128.598808
KGS,96.308424
KHR,4627.29063
KMF,493.164093
KPW,1021.978121
KRW,1364.238702
KWD,0.343782
KYD,0.946326
KZT,494.506395
LAK,12763.37224
LBP,1718.059246
LKR,230.384153
LRD,166.497249
LSL,17.850396
LTL,3.352929
LVL,0.6868719999999999
LYD,5.217777
MAD,10.540573
MDL,20.310576
MGA,4493.297489
MKD,61.897433
MMK,2019.091107
MNT,3245.785365
MOP,9.123328
MRO,405.384494
MUR,49.62369
MVR,17.555569
MWK,926.593476
MXN,23.156164
MYR,4.784016
MZN,72.48083
NAD,17.838982
NGN,469.212946
NIO,40.202803
NOK,10.043128
NPR,135.013082
NZD,1.6762540000000001
OMR,0.43718
PAB,1.1355819999999999
PEN,4.4904589999999995
PGK,4.002717
PHP,58.301013
PKR,201.076991
PLN,4.545425
PYG,7897.334941
QAR,4.13443
RON,4.945354
RSD,117.589939
RUB,85.614289
RWF,1152.564314
SAR,4.262056
SBD,9.183505
SCR,15.534259
SDG,496.794012
SEK,10.296433
SGD,1.540087
SHP,1.5640830000000001
SLL,12865.570642
SOS,665.420814
SRD,24.15049
STD,23503.206182
SVC,9.936339
SYP,2853.014305
SZL,17.838887
THB,38.139663
TJS,12.826828
TMT,3.985715
TND,3.272032
TOP,2.594118
TRY,15.714601
TTD,7.708272
TWD,31.41673
TZS,2620.805737
UAH,31.224274
UGX,4025.76928
USD,1.135531
UYU,50.81386
UZS,12280.771587
VEF,242810919653.29147
VND,25765.206184
VUV,128.601937
WST,2.952576
XAF,658.949228
XAG,0.051036
XAU,0.000633
XCD,3.06883
XDR,0.8120879999999999
XOF,659.181213
XPF,120.23002
YER,283.882576
ZAR,17.694648
ZMK,10221.145598
ZMW,19.140939
ZWL,365.640629
